account_id,matches,active_days,wins,kills,kills_bots,assists,deaths,pmins,golds,unq_maps,unq_chrs,avg_matches_pd,max_matches_pd,avg_wins_pd,max_wins_pd,lw_match_rate,days_since_last_sign_in,days_since_sign_up,purchase_amt,purchase_freq,has_premium,chat_rate_pm,time_to_first_play,high_spd_internet,resolution,tutorial_progress,dv_churn,dv_purchase_amt
887497,7,2,3,29,116,77,57,87.63,67655,3,4,3.5,6,1.5,1,0.0,17,30,0.0,0,0,67.76,169.61,0,c,0.15,1,0.0
152052,5,1,2,26,194,29,21,48.77,33638,2,2,5.0,5,2.0,1,1.0,4,49,0.0,0,0,70.13,116.78,0,b,0.95,0,0.0
515980,1,1,1,1,20,0,0,7.73,4202,1,1,1.0,1,1.0,1,0.0,16,29,0.0,0,0,36.64,37.21,1,c,0.83,1,0.0
438852,1,1,1,0,21,16,13,18.53,12134,1,1,1.0,1,1.0,1,0.0,27,30,0.0,0,0,0.0,216.75,0,b,0.99,1,0.0
111173,9,1,6,39,245,57,13,82.6,68351,4,3,9.0,9,6.0,5,0.0,27,31,0.0,0,0,9.48,336.07,0,c,0.74,1,0.0
933354,19,3,11,101,775,200,107,226.13,181159,6,10,6.33,7,3.67,5,0.0,22,31,3.0,1,0,12.82,205.5,0,c,1.0,1,0.0
510893,34,5,12,113,1576,173,177,472.73,351769,5,4,6.8,11,2.4,3,0.35,2,53,0.0,0,0,37.94,52.4,0,c,0.82,0,0.0
622852,187,18,87,730,11269,1537,815,2634.47,2002630,11,9,10.39,27,4.83,12,0.35,2,47,0.0,0,0,69.32,91.68,1,b,0.13,0,0.0
742620,7,2,3,21,129,65,7,53.3,42725,1,2,3.5,5,1.5,2,0.0,8,34,0.0,0,0,54.68,164.0,1,b,0.24,1,0.0
682878,5,2,5,74,483,26,25,95.43,99649,2,1,2.5,3,2.5,3,0.0,27,53,0.0,0,0,74.97,150.46,0,b,0.78,1,0.0
922451,2,1,0,0,43,6,17,26.7,16927,1,2,2.0,2,0.0,0,0.0,23,42,0.0,0,0,57.21,149.77,0,c,0.84,1,0.0
421477,79,13,49,547,5394,579,461,1252.78,1034666,10,26,6.08,21,3.77,10,0.0,11,39,0.0,0,0,75.98,82.73,0,a,0.9,1,0.0
969681,8,1,5,19,307,56,25,80.68,60582,3,2,8.0,8,5.0,4,0.0,25,48,0.0,0,0,0.0,216.85,1,c,0.16,1,0.0
189403,195,15,89,565,8657,1375,1010,3038.37,2396639,6,18,13.0,32,5.93,17,0.17,1,48,0.0,0,0,29.1,85.96,0,c,0.67,0,0.0
819276,101,16,35,485,2794,899,506,1125.13,853359,10,13,6.31,18,2.19,8,0.24,3,29,0.0,0,0,83.07,90.97,0,a,0.49,0,0.0
749920,4,2,3,13,182,16,9,52.38,38351,4,2,2.0,3,1.5,3,0.0,9,55,0.0,0,0,15.73,82.21,0,c,0.64,0,0.0
294691,4,2,4,38,117,51,41,65.38,1054709,2,3,2.0,3,2.0,3,0.0,15,43,0.0,0,0,35.03,225.69,0,b,0.64,1,0.0
498686,32,5,13,61,1189,159,84,571.97,243383,3,2,6.4,10,2.6,5,0.0,19,28,20.5,1,1,12.63,129.34,0,c,0.55,1,0.0
436142,2,1,2,5,81,8,5,26.62,18806,2,2,2.0,2,2.0,2,1.0,7,44,3.3,1,0,33.29,193.75,0,c,0.41,1,0.0
282473,84,11,32,460,3335,727,454,1166.28,936070,5,23,7.64,16,2.91,8,0.0,18,29,0.0,0,0,23.87,210.79,0,b,0.53,1,0.0
346489,2,2,1,9,99,21,20,41.63,31912,2,1,1.0,1,0.5,0,0.0,17,31,0.0,0,0,40.79,282.28,0,b,0.6,1,0.0
421989,9,5,6,14,334,31,19,138.4,117647,3,4,1.8,3,1.2,3,0.0,15,40,0.0,0,0,56.46,130.98,1,c,0.01,1,0.0
425661,328,26,136,1456,17865,1820,1435,5142.28,4040853,7,28,12.62,37,5.23,18,0.2,1,53,0.0,0,1,10.15,105.05,1,c,0.63,0,0.0
